sblock_id,pop_n_family,pop_n_individuals,pop_f_below_1,pop_m_below_1,pop_f_1_to_4,pop_m_1_to_5,pop_f_5_to_11,pop_m_5_to_11,pop_f_12_to_17,pop_m_12_to_17,pop_f_18_to_59,pop_m_18_to_59,pop_f_60_plus,pop_m_60_plus
CXB-201_C003_04,246,1109,14,18,56,68,121,129,66,89,270,233,21,25
CXB-201_C003_05,340,1533,19,24,77,94,167,178,91,123,373,322,29,35
CXB-201_C003_06,129,579,7,9,29,36,63,67,34,47,141,121,11,13
CXB-201_D004_01,325,1472,18,20,84,94,163,167,102,99,349,318,25,33
CXB-201_D004_02,241,1092,13,15,62,69,121,124,76,74,259,236,18,25
CXB-201_D004_03,197,891,11,12,51,57,99,101,62,60,211,192,15,20
CXB-201_D004_04,80,364,4,5,21,23,40,41,25,25,86,79,6,8
CXB-201_D004_05,152,690,8,9,39,44,76,78,48,47,164,149,12,16
CXB-201_D004_06,192,868,11,12,50,55,96,98,60,59,206,187,15,20
CXB-201_E005_01,149,659,10,9,38,39,71,73,42,47,164,140,11,15
CXB-201_E005_02,217,962,15,14,56,56,104,106,61,68,239,205,16,21
CXB-201_E005_03,204,903,14,13,53,53,97,100,57,64,225,192,15,20
CXB-201_E005_04,79,348,5,5,20,20,38,38,22,25,87,74,6,8
CXB-201_E005_05,201,888,13,13,52,52,96,98,56,63,221,189,15,20
CXB-201_E005_06,211,932,14,13,54,55,101,103,59,66,232,199,15,21
CXB-201_E005_07,137,607,9,9,35,36,66,67,39,43,151,129,10,13
CXB-201_F006_01,288,1267,18,16,69,83,137,141,81,83,320,269,22,29
CXB-201_F006_02,155,683,10,9,37,44,74,76,44,45,173,145,12,15
CXB-201_F006_03,176,775,11,10,42,50,84,86,50,51,196,164,13,17
CXB-201_F006_04,128,564,8,7,31,37,61,63,36,37,143,120,10,13
CXB-201_F006_05,155,683,10,9,37,44,74,76,44,45,173,145,12,15
CXB-201_F006_06,164,722,10,9,39,47,78,80,46,48,183,153,12,16
CXB-201_F006_07,161,709,10,9,38,46,77,79,45,47,179,150,12,16
CXB-201_G007_01,285,1248,16,21,75,76,149,151,72,84,308,251,19,27
CXB-201_G007_02,102,448,6,7,27,27,53,54,26,30,111,90,7,10
CXB-201_G007_03,163,712,9,12,43,44,85,86,41,48,176,143,11,15
